problem,label
"老师，为什么用scanf函数时，如果写成scanf(""%d\n"",a),按回车后就没有结果出来呢？",0
老师，vc6++下载发现有病毒。能解决一下吗？,0
"1）既然无参数宏定义是用标识符来代表字符串的，符号常量也是用标识符命名常量，这两个有什么区别？（都是 #define <> <> 的形式）。
2）#include<stdio.h>
       void main()
{ short a=0xf245,b,c;
   b=a<<8;
    c=a>>8;
    c=c&0x00ff;
……
}    为什么要C的高8位清零呢？根据程序算 得出来的C的高8位已经是0了，是否是说 这两种0 代表的含义是不一样的？？
3） 书上说 常量不占内存 在寄存器中",0
"胡老师，你好，我在学习过程中遇到几个问题，想要清教你一下。
第一，关于void。课本上说void是表示没有返回值，那返回值是不是仅指函数体中有return，就代表有返回值？
第二，关于实验教程实验七中第五题程序a
#define g(x)x*x+2*x-1
main()
{
float x=3;
printf(""g(%5.0f)=%5.0f\n"",x+1,g(x+1));
}
这个最后的输出值是13，我实在想不通这个十三是怎么算出来的。",0
"该程序打印学生课程成绩并且计算学生平均成绩和课程平均成绩
但成绩显示，但为什么不显示平均成绩。
#include<stdio.h>#define Student 5 #define Course  4void main(){float a[Student+1][Course+1];int i,j;for(i=0;i<Student;i++) for(j=0;j<Course;j++)  {  printf(""input the mark of %d course of %d students:\n"",j+",0
"假设有整形变量a和浮点型变量f，用户的输入为12345678765.43，先要输入中的123赋值给变量a，8765.43给f，问scanf函数调用中的格式控制字符串如何组织？

ps：使用W7家庭普通版的同学，你们是如何解决Visual C++ 6.0的不兼容问题的？",0
"float add(x,y)float x,y;{return x+y;}float sub(x,y)float x,y;{return x-y;}#include<stdio.h>main(){int mode;float a,b,(*p)();scanf(""%f%f%d"",&a,&b,&mode);if(mode)p=add;elsep=sub;printf(""%f\n"",(*p)(a,b));}胡老师为啥运行不起来呢？？？？？",0
不知道为什么，每次运行都出现如下问题“Error spawning cl.exe”（输入的程序没有错误）。表示很不理解。有哪位高人能给我解释一下。谢谢！,0
" 
main()
{   int i=2,p;
    p=f(i,++i);     
    printf(""%d"",p);
}
int f(int a, int b)
{   int c;
    if(a>b)  c=1;
    else if(a==b)   c=0;
    else c=-1;
    return(c);
}和
 
main()
{   int i=2,p;
    p=f(i, i++);     
    printf(""%d"",p);
}
int f(int a,",0
"#include<stdio.h>#define N 10int x[N][N];void yanghui(int n,char mode){ int  i,j;  if(mode=='a')   for(i=0;i<n;i++)   { printf(""     "");     for(j=0;j<=i;j++)   printf(""%5d"",x[i][j]);  printf(""\n"");   }   else    for(i=0;i<n;i++)    { for(j=0;j<=30-3*i;j+",0
"#include<stdio.h>int main(){ void swap(int *p1,int *p2); int a, b; int *pointer_1; int *pointer_2; printf(""Please enter two integer numbers:"");    scanf(""%d%d"",&a,&b);    pointer_1=&a; pointer_2=&b; if(a<b) swap(pointer_1,pointer_2); printf(""max=%d,min=%d",0
谁来回答一下啊~,0
"#include<math.h>int count=0;void printcba(long n){long m; m=fabs(n); if(m>0) {printf(""%5d"",m%10);  m=m/10; printcba(m); } if(n<0)  printf(""%5c"",'-');}void printabc(long n){long m; if(n<0) {printf(""%5c"",'-'); n=-n; } if(n>=10) {m=n/10;  count++;  printabc(",0
"（*f）()到底怎么用？，怎么会事？程序是如何运行的
#include<stdio.h>#include<math.h>
 double zero(double a,double b,double(*f)(),double eps) { double c,x; 
 while(fabs(a-b)>eps) {  c=(a+b)/2;  m=(*f)(a);  n=(*f)(c);  x=m*n;  if(x<0)   b=c;  else if(x==0)   break;  else   a=c; } ",0
"void到底有什么用？为什么有时候的错误提醒是在main前面加个void就好了 
main 和 void main差在哪？",0
